試行回数	ノード	ノード間距離
1462	1505	0.0
1463	1165	0.0
1464	1493	0.0
1465	1256	0.0
1466	1591	0.0
1467	1509	0.0
1468	1514	0.0
1469	1335	0.0
1470	1374	0.0
1471	1649	0.0
1472	1506	0.0
1473	1395	0.0
1474	1504	0.0
1475	1634	0.0
1476	1502	0.0
1477	1446	0.0
1478	1414	0.0
1479	1567	0.0
1480	1558	0.0
1481	1507	0.0
1482	1696	0.0
1483	1267	0.0
1484	1671	0.0
1485	1547	0.0
1486	781	0.0
1487	1657	0.0
1488	1445	0.0
1489	1291	0.0
1490	1695	0.0
1491	1352	0.0
1492	1940	0.0
1493	1182	0.0
1494	1359	0.0
1495	1515	0.0
1496	1735	0.0
1497	1499	0.0
1498	1485	0.0
1499	1113	0.0
1500	1431	0.0
1501	1636	0.0
1502	1466	0.0
1503	1383	0.0
1504	1534	0.0
1505	1651	0.0
1506	1421	0.0
1507	1503	0.0
1508	1373	0.0
1509	1197	0.0
1510	1647	0.0
1511	1494	0.0
1512	1976	0.0
1513	1521	0.0
1514	1516	0.0
1515	1498	0.0
1516	1413	0.0
1517	1747	0.0
1518	1610	0.0
1519	1476	0.0
1520	1664	0.0
1521	1447	0.0
1522	1732	0.0
1523	1520	0.0
1524	1911	0.0
1525	1562	0.0
1526	1403	0.0
1527	1598	0.0
1528	1977	0.0
1529	1718	0.0
1530	1713	0.0
1531	1687	0.0
1532	1665	0.0
1533	1464	0.0
1534	1523	0.0
1535	1299	0.0
1536	1196	0.0
1537	1542	0.0
1538	1443	0.0
1539	1741	0.0
1540	1430	0.0
1541	1608	0.0
1542	1640	0.0
1543	1531	0.0
1544	1899	0.0
1545	1456	0.0
1546	1561	0.0
1547	1588	0.0
1548	1602	0.0
1549	1146	0.0
1550	1635	0.0
1551	1619	0.0
1552	1633	0.0
1553	1556	0.0
1554	1325	0.0
1555	1667	0.0
1556	1492	0.0
1557	1614	0.0
1558	1340	0.0
1559	1415	0.0
1560	1436	0.0
1561	1486	0.0
1562	1574	0.0
1563	1774	0.0
1564	1538	0.0
1565	1814	0.0
1566	1478	0.0
1567	1440	0.0
1568	1500	0.0
1569	1378	0.0
1570	1621	0.0
1571	1595	0.0
1572	1627	0.0
1573	1599	0.0
1574	1544	0.0
1575	1754	0.0
1576	1576	0.0
1577	1803	0.0
1578	1673	0.0
1579	1546	0.0
1580	1581	0.0
1581	1404	0.0
1582	1460	0.0
1583	1648	0.0
1584	1384	0.0
1585	1625	0.0
1586	1526	0.0
1587	1471	0.0
